GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,COMERCIAL,46,46,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,INDUSTRIAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,SOCIAL,148,82,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,DOMESTICO,68236,59015,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,COMERCIAL,2896,2106,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,INDUSTRIAL,206,187,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,ESTATAL,2,1,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,SOCIAL,7,7,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,DOMESTICO,11488,9222,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,COMERCIAL,636,358,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,INDUSTRIAL,8,8,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,SOCIAL,3,3,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,DOMESTICO,3811,3260,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,COMERCIAL,114,67,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,INDUSTRIAL,7,6,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,SOCIAL,6,6,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,DOMESTICO,10172,8216,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,COMERCIAL,435,288,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,INDUSTRIAL,13,10,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,ESTATAL,1,1,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,SOCIAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,DOMESTICO,1059,618,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,COMERCIAL,64,46,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,INDUSTRIAL,2,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,SOCIAL,231,66,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,DOMESTICO,66533,66019,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,COMERCIAL,810,781,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,INDUSTRIAL,41,39,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,SOCIAL,27,15,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,DOMESTICO,8801,8781,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,COMERCIAL,94,93,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,INDUSTRIAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,SOCIAL,76,57,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,DOMESTICO,46652,29307,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,COMERCIAL,8315,4808,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,INDUSTRIAL,692,563,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,ESTATAL,3,2,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,SOCIAL,13,7,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,DOMESTICO,12103,8187,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,COMERCIAL,2408,1182,2023,202304,20230505
